Train Epoch: [1/15] Iters:[930/20018] gen_loss 0.8298, rec_loss 0.0252, lpips_loss 0.1847, g_loss 0.1614, disc_weight 0.4000, disc_adaptive_weight 3.8394, d_loss 0.4400, logits_real -0.1619, logits_fake -0.1611,
Train Epoch: [1/15] Iters:[940/20018] gen_loss 0.7991, rec_loss 0.0251, lpips_loss 0.1847, g_loss 0.1606, disc_weight 0.4000, disc_adaptive_weight 3.6694, d_loss 0.4389, logits_real -0.1612, logits_fake -0.1605,
Train Epoch: [1/15] Iters:[950/20018] gen_loss 0.8404, rec_loss 0.0249, lpips_loss 0.1840, g_loss 0.1600, disc_weight 0.4000, disc_adaptive_weight 3.9489, d_loss 0.4384, logits_real -0.1607, logits_fake -0.1599,
Train Epoch: [1/15] Iters:[960/20018] gen_loss 0.8276, rec_loss 0.0250, lpips_loss 0.1844, g_loss 0.1593, disc_weight 0.4000, disc_adaptive_weight 3.8832, d_loss 0.4372, logits_real -0.1601, logits_fake -0.1592,
Train Epoch: [1/15] Iters:[970/20018] gen_loss 0.8172, rec_loss 0.0252, lpips_loss 0.1856, g_loss 0.1583, disc_weight 0.4000, disc_adaptive_weight 3.8314, d_loss 0.4361, logits_real -0.1593, logits_fake -0.1585,
Train Epoch: [1/15] Iters:[980/20018] gen_loss 0.8220, rec_loss 0.0251, lpips_loss 0.1855, g_loss 0.1575, disc_weight 0.4000, disc_adaptive_weight 3.8811, d_loss 0.4354, logits_real -0.1585, logits_fake -0.1577,
Train Epoch: [1/15] Iters:[990/20018] gen_loss 0.8021, rec_loss 0.0251, lpips_loss 0.1850, g_loss 0.1568, disc_weight 0.4000, disc_adaptive_weight 3.7745, d_loss 0.4350, logits_real -0.1578, logits_fake -0.1569,
Train Epoch: [1/15] Iters:[1000/20018] gen_loss 0.7795, rec_loss 0.0253, lpips_loss 0.1848, g_loss 0.1562, disc_weight 0.4000, disc_adaptive_weight 3.6460, d_loss 0.4338, logits_real -0.1572, logits_fake -0.1563,
Train Epoch: [1/15] Iters:[1010/20018] gen_loss 0.7648, rec_loss 0.0249, lpips_loss 0.1838, g_loss 0.1556, disc_weight 0.4000, disc_adaptive_weight 3.5734, d_loss 0.4331, logits_real -0.1565, logits_fake -0.1556,
Train Epoch: [1/15] Iters:[1020/20018] gen_loss 0.8145, rec_loss 0.0249, lpips_loss 0.1836, g_loss 0.1549, disc_weight 0.4000, disc_adaptive_weight 3.9151, d_loss 0.4325, logits_real -0.1558, logits_fake -0.1549,
Train Epoch: [1/15] Iters:[1030/20018] gen_loss 0.8334, rec_loss 0.0250, lpips_loss 0.1841, g_loss 0.1540, disc_weight 0.4000, disc_adaptive_weight 4.0583, d_loss 0.4318, logits_real -0.1550, logits_fake -0.1542,
