Train Epoch: [1/10] Iters:[870/20018] gen_loss -0.6116, rec_loss 0.0237, lpips_loss 0.1775, g_loss -0.1920, disc_weight 0.4000, disc_adaptive_weight 4.2364, d_loss 0.4426, logits_real 0.1907, logits_fake 0.1921,
Train Epoch: [1/10] Iters:[880/20018] gen_loss -0.5997, rec_loss 0.0239, lpips_loss 0.1784, g_loss -0.1908, disc_weight 0.4000, disc_adaptive_weight 4.2012, d_loss 0.4417, logits_real 0.1894, logits_fake 0.1908,
Train Epoch: [1/10] Iters:[890/20018] gen_loss -0.5963, rec_loss 0.0236, lpips_loss 0.1776, g_loss -0.1895, disc_weight 0.4000, disc_adaptive_weight 4.2031, d_loss 0.4413, logits_real 0.1882, logits_fake 0.1895,
Train Epoch: [1/10] Iters:[900/20018] gen_loss -0.5292, rec_loss 0.0240, lpips_loss 0.1792, g_loss -0.1883, disc_weight 0.4000, disc_adaptive_weight 3.8863, d_loss 0.4404, logits_real 0.1871, logits_fake 0.1884,
Train Epoch: [1/10] Iters:[910/20018] gen_loss -0.4716, rec_loss 0.0238, lpips_loss 0.1789, g_loss -0.1871, disc_weight 0.4000, disc_adaptive_weight 3.6064, d_loss 0.4394, logits_real 0.1859, logits_fake 0.1871,
Train Epoch: [1/10] Iters:[920/20018] gen_loss -0.4677, rec_loss 0.0236, lpips_loss 0.1776, g_loss -0.1859, disc_weight 0.4000, disc_adaptive_weight 3.6016, d_loss 0.4383, logits_real 0.1847, logits_fake 0.1860,
Train Epoch: [1/10] Iters:[930/20018] gen_loss -0.4642, rec_loss 0.0236, lpips_loss 0.1778, g_loss -0.1847, disc_weight 0.4000, disc_adaptive_weight 3.6032, d_loss 0.4377, logits_real 0.1837, logits_fake 0.1849,
Train Epoch: [1/10] Iters:[940/20018] gen_loss -0.4639, rec_loss 0.0236, lpips_loss 0.1781, g_loss -0.1837, disc_weight 0.4000, disc_adaptive_weight 3.6233, d_loss 0.4365, logits_real 0.1827, logits_fake 0.1839,
Train Epoch: [1/10] Iters:[950/20018] gen_loss -0.4627, rec_loss 0.0233, lpips_loss 0.1773, g_loss -0.1827, disc_weight 0.4000, disc_adaptive_weight 3.6290, d_loss 0.4362, logits_real 0.1818, logits_fake 0.1830,
Train Epoch: [1/10] Iters:[960/20018] gen_loss -0.4945, rec_loss 0.0233, lpips_loss 0.1779, g_loss -0.1819, disc_weight 0.4000, disc_adaptive_weight 3.8265, d_loss 0.4352, logits_real 0.1808, logits_fake 0.1822,
Train Epoch: [1/10] Iters:[970/20018] gen_loss -0.5573, rec_loss 0.0237, lpips_loss 0.1791, g_loss -0.1809, disc_weight 0.4000, disc_adaptive_weight 4.2079, d_loss 0.4340, logits_real 0.1798, logits_fake 0.1810,
Train Epoch: [1/10] Iters:[980/20018] gen_loss -0.5788, rec_loss 0.0237, lpips_loss 0.1791, g_loss -0.1799, disc_weight 0.4000, disc_adaptive_weight 4.3490, d_loss 0.4331, logits_real 0.1788, logits_fake 0.1800,
Train Epoch: [1/10] Iters:[990/20018] gen_loss -0.5808, rec_loss 0.0237, lpips_loss 0.1784, g_loss -0.1787, disc_weight 0.4000, disc_adaptive_weight 4.3836, d_loss 0.4327, logits_real 0.1777, logits_fake 0.1789,
Train Epoch: [1/10] Iters:[1000/20018] gen_loss -0.5647, rec_loss 0.0239, lpips_loss 0.1781, g_loss -0.1776, disc_weight 0.4000, disc_adaptive_weight 4.3160, d_loss 0.4323, logits_real 0.1764, logits_fake 0.1777,
Train Epoch: [1/10] Iters:[1010/20018] gen_loss -0.5311, rec_loss 0.0237, lpips_loss 0.1769, g_loss -0.1766, disc_weight 0.4000, disc_adaptive_weight 4.1426, d_loss 0.4318, logits_real 0.1753, logits_fake 0.1767,
